,Unnamed: 0,ID,Lat,Lon,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10,2020-11,2020-12,Title,Slug
0,0,237523976,35.5614484015,139.7242223065,71,57,65,68,79,70,65,74,59,54,74,46,76,55,87,68,44,47,141,261,124,70,68,71,2,0,0,0,0,41,31,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1,218433853,35.551047051,139.78888255889999,10,0,2,2,248,54,618,62,112,327,638,1724,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2,89700,35.649061188000005,139.710715625,203,187,127,139,126,146,234,274,133,193,194,192,224,100,252,349,229,181,229,234,242,373,347,423,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,,
3,3,215508085,35.693880555599996,139.7034222222,400,1,0,1,2,1,1,0,1,1,1,1,0,1,3,1,0,2,3,1,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,,
4,4,237607959,35.5950905926,139.7647098158,49,37,32,46,31,10,11,12,34,22,15,11,7,12,17,18,37,24,11,9,0,11,23,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,,
5,5,239123611,35.6995831316,139.5749594918,88,65,36,60,29,23,13,27,8,19,10,14,70,21,31,52,54,40,35,38,33,42,44,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,28,,
6,6,802424327,35.75697558,139.87551445,63,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,京成電鉄 柴又駅,
7,7,489462118,35.6968712554,139.813624015,435,386,433,441,128,51,42,50,264,275,263,339,292,275,245,267,269,249,169,358,214,221,259,247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,,
8,9,458309727,35.59,139.67,46,79,50,112,84,86,234,53,84,104,97,111,109,65,119,87,66,79,63,57,53,56,65,111,0,0,0,0,0,0,47,13,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,10,236924460,35.7769042134,139.8246839302,5,1,6,2,7,6,2,5,5,2,1,2,7,4,5,10,1,1,3,3,0,2,1,6,4,4,4,2,3,4,1,1,1,1,0,2,0,3,0,1,0,3,1,1,1,1,1,1,,
10,11,690508455,35.6499014,139.7047844,258,271,460,404,371,318,322,250,226,256,232,219,184,186,204,251,250,216,205,190,146,185,215,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,53,,
11,12,176211,35.661712694,139.6693873735,249,241,5,133,351,287,172,203,251,359,270,401,224,276,242,288,248,287,341,251,221,350,247,371,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,,
12,14,404832698,35.6566475344,139.7015721446,209,191,150,161,148,184,134,176,200,204,147,202,148,151,173,131,130,178,140,179,202,143,195,256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,,
13,15,520524251473245,35.575632,139.655426,14,7,4,7,8,2,1,4,3,10,1,11,0,4,12,9,11,29,22,31,17,30,27,32,5,22,2,6,0,3,1,5,6,4,3,2,3,4,2,3,2,2,2,0,0,10,3,0,,
14,16,241036881,35.7666,139.8477,86,119,73,76,117,103,97,107,105,108,134,138,150,117,116,81,58,55,56,46,36,54,44,48,2,0,0,19,28,23,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,17,214289280,35.715413235700005,139.7947801162,217,121,183,140,230,159,222,347,448,280,268,279,357,212,262,201,224,188,153,250,167,204,177,201,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,,
16,18,244272322,35.6999458144,139.5776203718,862,614,314,167,756,876,643,487,954,888,1388,810,667,448,1499,1217,732,498,386,283,373,643,754,780,1,0,0,0,0,0,0,0,0,92,0,2,0,1,0,1,0,0,0,0,1,1,0,0,,
17,19,639588219,35.5303218492,139.6989271164,88,81,90,78,95,13,59,70,77,82,85,89,97,63,70,52,50,12,59,47,60,72,62,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,,
18,20,249464060,35.7113104633,139.79641730219998,94,677,486,356,557,385,353,294,547,401,556,502,674,518,469,392,390,325,350,404,468,597,357,211,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,16,10,13,13,8,3,,
19,21,442308760,35.6903568832,139.7013408171,314,266,256,234,241,197,222,239,271,274,244,248,177,174,213,211,227,95,192,200,228,247,195,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,,
20,22,1026539316,35.662598100000004,139.6694875,17,12,14,20,9,28,29,20,18,9,13,12,16,21,7,16,13,20,14,13,22,17,16,15,0,0,0,0,0,0,0,0,0,0,0,0,1,24,7,0,0,9,4,5,7,13,12,18,,
21,23,461178955,35.6,139.64944440000002,49,32,41,30,109,56,51,40,25,91,43,36,37,30,29,28,38,41,27,20,35,51,57,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38,47,,
22,24,93418,35.779404918699996,139.78028124440002,1010,296,131,242,187,134,221,167,79,71,141,109,1086,319,159,362,143,104,389,240,88,80,102,92,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,,
23,25,262832257,35.5491,139.754,11,11,4,5,8,3,8,8,10,13,8,9,14,9,17,6,10,11,5,2,10,4,5,3,2,2,4,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,26,490493019,35.6157360939,139.83176230819998,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tokyo Gate Bridge 東京ゲートブリッジ,tokyo-gate-bridge
25,27,81050,35.6017666024,139.69070117290002,124,116,186,561,157,96,134,67,95,66,64,42,53,44,177,70,12,5,7,0,3,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0,0,0,0,0,,
26,28,14003174,35.627454228299996,139.7751450534,6213,3,2,4,3,1,0,2,1,3,0,2,1,0,7,3,2,3,2,6,9,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,
27,30,23215533,35.6762143196,139.6994128358,402,101,138,146,118,122,106,108,156,69,81,100,476,136,93,163,184,136,167,115,154,96,157,173,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,32,,
